product_id,category,brand,season,size,color,original_price,markdown_percentage,current_price,purchase_date,stock_quantity,customer_rating,is_returned,return_reason,total_sales,country,countryCode,longitude,latitude
FB000001,Outerwear,Zara,Spring,XL,Red,196.01,0,196.01,7/5/2025,37,3,FALSE,,347,Philippines,PH,121.0570303,14.58330396
FB000002,Tops,Uniqlo,Winter,L,Pink,119.64,0,119.64,8/6/2025,2,2.5,FALSE,,715,Philippines,PH,121.0267505,14.54980844
FB000003,Accessories,Uniqlo,Winter,XL,Black,33.8,0,33.8,8/6/2025,22,4.3,FALSE,,786,Philippines,PH,120.984229,14.576975
FB000004,Shoes,Uniqlo,Spring,XL,Black,75.36,0,75.36,7/7/2025,48,2.6,FALSE,,703,Philippines,PH,121.037674,14.61483088
FB000005,Tops,Banana Republic,Winter,XL,Black,105.02,0,105.02,8/6/2025,10,,FALSE,,947,Philippines,PH,121.030335,14.65676979
FB000006,Accessories,Zara,Fall,,White,35.03,35.4,22.63,8/6/2025,38,2.9,TRUE,Color Mismatch,206,Philippines,PH,120.9822,14.5351
FB000007,Bottoms,Zara,Spring,S,Gray,53.83,54.5,24.49,10/29/2024,38,2.6,FALSE,,675,Philippines,PH,121.053512,14.556674
FB000008,Dresses,Mango,Winter,XL,Blue,91.55,22.1,71.32,8/6/2025,47,1.6,FALSE,,830,Philippines,PH,121.0588113,14.73282273
FB000009,Outerwear,Uniqlo,Spring,XL,Green,227.73,12.8,198.58,3/24/2025,14,,FALSE,,597,Philippines,PH,121.0102296,14.43276906
FB000010,Outerwear,H&M,Fall,XXL,Pink,248.41,10.9,221.33,8/6/2025,37,,FALSE,,128,Philippines,PH,123.8815466,10.28170043
FB000011,Tops,Mango,Spring,L,Black,116.84,0,116.84,4/25/2025,3,4.4,FALSE,,525,Philippines,PH,123.904809,10.31845565
FB000012,Shoes,Uniqlo,Winter,S,Blue,146.98,0,146.98,8/6/2025,2,3.4,FALSE,,991,Philippines,PH,121.0389,14.4157
FB000013,Bottoms,Ann Taylor,Spring,S,White,37.51,0,37.51,1/4/2025,43,,FALSE,,493,Philippines,PH,120.9570604,14.30180966
FB000014,Dresses,Uniqlo,Fall,XS,Beige,48.15,0,48.15,8/6/2025,39,1.6,FALSE,,433,Philippines,PH,122.944385,10.673137
FB000015,Tops,Mango,Winter,M,Beige,79.66,0,79.66,8/6/2025,7,1.7,FALSE,,959,Philippines,PH,120.609821,15.16304
