product_id,category,brand,season,size,color,original_price,markdown_percentage,current_price,purchase_date,stock_quantity,customer_rating,is_returned,return_reason,total_sales,country,countryCode,longitude,latitude,quantity_sold,price_per_unit
FB000001,Outerwear,Zara,Spring,XL,Red,196.01,0.0,196.62,2025-07-05,37,3.0,False,,589.86,Mainland China,CN,121.0570303,14.58330396,3,196.62
FB000002,Tops,Uniqlo,Winter,L,Pink,119.64,0.0,122.04,2024-03-11,2,2.5,False,,488.16,Mainland China,CN,121.0267505,14.54980844,4,122.04
FB000003,Accessories,Uniqlo,Winter,XL,Black,33.8,0.0,33.54,2024-03-11,22,4.3,False,,536.64,Mainland China,CN,120.984229,14.576975,16,33.54
FB000004,Shoes,Uniqlo,Spring,XL,Black,75.36,0.0,74.69,2025-07-07,48,2.6,False,,1195.04,Mainland China,CN,121.037674,14.61483088,16,74.69
FB000005,Tops,Banana Republic,Winter,XL,Black,105.02,0.0,109.75,2024-01-04,10,,False,,878.0,Mainland China,CN,121.030335,14.65676979,8,109.75
FB000006,Accessories,Zara,Fall,,White,35.03,35.4,22.39,2024-08-10,38,2.9,True,Color Mismatch,111.95,Mainland China,CN,120.9822,14.5351,5,22.39
FB000007,Bottoms,Zara,Spring,S,Gray,53.83,54.5,24.84,2024-10-29,38,2.6,False,,422.28,Mainland China,CN,121.053512,14.556674,17,24.84
FB000008,Dresses,Mango,Winter,XL,Blue,91.55,22.1,73.37,2024-06-05,47,1.6,False,,440.22,Mainland China,CN,121.0588113,14.73282273,6,73.37
FB000009,Outerwear,Uniqlo,Spring,XL,Green,227.73,12.8,209.74,2025-03-24,14,,False,,1677.92,Mainland China,CN,121.0102296,14.43276906,8,209.74
FB000010,Outerwear,H&M,Fall,XXL,Pink,248.41,10.9,,2024-09-09,37,,False,,,Mainland China,CN,123.8815466,10.28170043,1,
FB000011,Tops,Mango,Spring,L,Black,116.84,0.0,113.53,2025-04-25,3,4.4,False,,1021.77,Mainland China,CN,123.904809,10.31845565,9,113.53
FB000012,Shoes,Uniqlo,Winter,S,Blue,146.98,0.0,135.32,2024-03-19,2,3.4,False,,676.6,Mainland China,CN,121.0389,14.4157,5,135.32
FB000013,Bottoms,Ann Taylor,Spring,S,White,37.51,0.0,37.87,2025-01-04,43,,False,,1060.36,Mainland China,CN,120.9570604,14.30180966,28,37.87
FB000014,Dresses,Uniqlo,Fall,XS,Beige,48.15,0.0,46.66,2024-07-19,39,1.6,False,,233.3,Mainland China,CN,122.944385,10.673137,5,46.66
FB000015,Tops,Mango,Winter,M,Beige,79.66,0.0,81.14,2024-04-14,7,1.7,False,,811.4,Mainland China,CN,120.609821,15.16304,10,81.14
FB000016,Accessories,Mango,Winter,,Green,67.57,0.0,78.03,2024-12-29,17,2.4,False,,234.09,Mainland China,CN,120.698354,15.053074,3,78.03
FB000017,Shoes,Gap,Summer,S,Beige,123.53,0.0,112.66,2024-03-02,14,4.6,False,,450.64,Mainland China,CN,121.075225,14.651081,4,112.66
FB000018,Tops,Ann Taylor,Winter,L,Navy,102.35,0.0,98.61,2024-07-22,14,3.5,False,,295.83,Mainland China,CN,121.0538546,14.6190192,3,98.61
FB000019,Outerwear,Mango,Summer,M,Purple,137.95,58.5,57.96,2024-02-25,16,4.1,False,,579.6,Mainland China,CN,120.58,15.16861688,10,57.96
FB000020,Outerwear,Banana Republic,Summer,XXL,Gray,142.59,0.0,141.98,2024-05-16,1,3.7,False,,709.9,Mainland China,CN,125.61079,7.090658,5,141.98
FB000021,Bottoms,Mango,Fall,L,Beige,33.33,21.8,25.75,2024-02-21,42,,False,,721.0,Mainland China,CN,124.651398,8.484991,28,25.75
FB000022,Accessories,Zara,Spring,,Brown,62.3,0.0,62.5,2024-09-24,10,2.5,False,,187.5,Mainland China,CN,121.058928,14.592131,3,62.5
FB000023,Accessories,Zara,Winter,,Pink,38.48,0.0,38.16,2024-04-18,46,1.2,False,,763.2,Mainland China,CN,123.918289,10.311916,20,38.16
FB000024,Dresses,Banana Republic,Summer,XL,Green,91.36,0.0,93.98,2024-07-27,37,1.2,True,Size Issue,469.9,Mainland China,CN,121.023183,14.552894,5,93.98
FB000025,Tops,Forever21,Fall,XS,Blue,80.47,29.1,58.36,2024-10-09,38,3.6,False,,583.6,Mainland China,CN,122.551108,10.714587,10,58.36
FB000026,Bottoms,Uniqlo,Spring,M,Red,40.89,34.0,27.07,2025-06-11,16,3.7,False,,2734.07,Mainland China,CN,121.011166,14.376249,101,27.07
FB000027,Bottoms,Banana Republic,Summer,L,Red,47.04,36.0,30.44,2024-03-17,25,1.1,True,Damaged,578.36,Mainland China,CN,120.592586,18.180249,19,30.44
FB000028,Bottoms,Gap,Summer,M,Blue,53.37,0.0,52.69,2024-09-17,28,3.8,False,,526.9,Mainland China,CN,120.533676,14.6557,10,52.69
FB000029,Dresses,Ann Taylor,Summer,L,White,114.35,0.0,112.18,2024-01-17,6,1.2,False,,785.26,Mainland China,CN,121.0597176,14.24736634,7,112.18
FB000030,Shoes,Gap,Spring,XL,Red,77.63,0.0,74.12,2024-10-24,1,,False,,296.48,Mainland China,CN,121.036314,14.65243,4,74.12
FB000031,Shoes,Uniqlo,Summer,S,Red,71.29,0.0,78.65,2024-12-30,37,4.1,True,Quality Issue,314.6,Mainland China,CN,121.093248,14.61987,4,78.65
FB000032,Tops,Gap,Spring,L,Purple,37.43,24.4,28.19,2025-04-16,5,,False,,817.51,Mainland China,CN,121.0004,14.6565,29,28.19
FB000033,Shoes,Zara,Spring,XL,Purple,143.78,0.0,150.12,2024-10-16,43,1.1,False,,300.24,Mainland China,CN,121.019501,14.576162,2,150.12
FB000034,Tops,Banana Republic,Summer,XL,Gray,88.23,0.0,108.46,2024-06-10,44,1.6,False,,216.92,Mainland China,CN,121.1730029,13.99901421,2,108.46
FB000035,Accessories,Forever21,Fall,,Navy,58.57,0.0,58.03,2024-10-04,38,1.5,False,,522.27,Mainland China,CN,120.99,14.48,9,58.03
FB000036,Tops,Uniqlo,Winter,XXL,White,119.7,5.7,119.0,2024-09-06,37,4.9,False,,595.0,Mainland China,CN,120.59,16.4,5,119.0
FB000037,Bottoms,Banana Republic,Fall,XXL,Green,97.06,47.8,48.87,2024-01-11,31,4.1,False,,684.18,Mainland China,CN,120.283,14.8363,14,48.87
FB000038,Dresses,Banana Republic,Summer,L,White,110.09,0.0,118.17,2024-04-11,32,3.4,False,,354.51,Mainland China,CN,120.9682,14.4311,3,118.17
FB000039,Shoes,Zara,Winter,XS,Green,198.42,14.2,139.18,2024-04-28,10,,False,,278.36,Mainland China,CN,121.06,14.35,2,139.18
FB000040,Bottoms,Banana Republic,Winter,,Purple,101.72,0.0,94.76,2024-04-03,40,,False,,189.52,Mainland China,CN,121.054685,14.547374,2,94.76
FB000041,Tops,Uniqlo,Summer,S,White,117.86,0.0,108.28,2024-08-05,6,,False,,433.12,Mainland China,CN,14.35865388,46.76787112,4,108.28
FB000042,Tops,Ann Taylor,Summer,M,Green,78.86,0.0,90.23,2024-09-15,22,4.3,False,,270.69,Mainland China,CN,16.04988763,48.33094632,3,90.23
FB000043,Outerwear,Zara,Winter,XS,Navy,216.16,51.4,97.92,2024-11-09,36,4.0,False,,685.44,Mainland China,CN,16.21829563,47.8183144,7,97.92
FB000044,Shoes,Zara,Spring,XL,Pink,129.85,0.0,131.86,2025-04-25,36,3.3,False,,1054.88,Mainland China,CN,16.47129041,48.17016843,8,131.86
FB000045,Tops,Banana Republic,Winter,XXL,Green,111.3,0.0,102.9,2024-06-26,11,1.7,False,,102.9,Mainland China,CN,13.0687851,47.7750735,1,102.9
FB000046,Dresses,Uniqlo,Summer,XL,Brown,73.65,0.0,73.45,2024-12-04,33,3.6,False,,954.85,Mainland China,CN,16.42267875,48.20966424,13,73.45
FB000047,Shoes,Mango,Summer,L,Pink,147.13,30.3,100.84,2024-12-16,13,4.4,False,,1210.08,Mainland China,CN,14.83920797,46.84237385,12,100.84
FB000048,Accessories,Ann Taylor,Winter,,Green,44.6,53.9,20.86,2024-08-06,42,2.4,False,,438.06,Mainland China,CN,13.2188533,47.4173902,21,20.86
FB000049,Bottoms,Forever21,Summer,XL,White,101.8,0.0,83.19,2024-10-17,7,2.8,False,,83.19,Mainland China,CN,16.5722,48.56987223,1,83.19
FB000050,Accessories,Banana Republic,Summer,,Brown,16.52,55.9,7.25,2024-12-15,43,,False,,645.25,Mainland China,CN,15.46147666,47.04171051,89,7.25
FB000051,Bottoms,H&M,Fall,M,Beige,50.91,0.0,51.98,2024-06-03,3,1.8,False,,363.86,Mainland China,CN,16.25691219,47.82417417,7,51.98
FB000052,Outerwear,Forever21,Spring,S,White,222.26,0.0,231.83,2025-05-03,50,4.5,False,,1390.98,Mainland China,CN,16.35494151,48.19986893,6,231.83
FB000053,Shoes,Gap,Summer,S,Navy,104.14,57.1,45.31,2024-07-13,14,1.8,False,,498.41,Mainland China,CN,15.62857045,47.21781127,11,45.31
FB000054,Outerwear,Zara,Spring,S,White,166.76,0.0,159.26,2025-06-12,21,4.2,False,,955.56,Mainland China,CN,16.855765,47.97684,6,159.26
FB000055,Accessories,Banana Republic,Fall,,Black,44.13,50.9,21.79,2024-11-07,21,3.0,False,,915.18,Mainland China,CN,16.31776571,48.11170077,42,21.79
FB000056,Outerwear,Gap,Summer,S,Green,121.29,15.2,89.62,2024-09-30,42,,False,,268.86,Mainland China,CN,15.4172832,47.0340747,3,89.62
FB000057,Tops,H&M,Spring,S,Beige,73.71,0.0,73.48,2025-07-10,35,3.9,True,Quality Issue,1616.56,Mainland China,CN,14.24892426,48.19515855,22,73.48
FB000058,Bottoms,Zara,Spring,XL,Brown,84.07,26.3,52.54,2024-10-25,19,2.3,True,Size Issue,157.62,Mainland China,CN,14.23622131,48.24399631,3,52.54
FB000059,Tops,Mango,Summer,XS,Black,28.59,0.0,28.09,2024-05-18,39,1.4,False,,224.72,Mainland China,CN,11.4309566,47.2626763,8,28.09
FB000060,Shoes,Mango,Winter,XXL,Blue,166.49,2.6,140.73,2024-10-19,27,,False,,140.73,Mainland China,CN,16.3484966,48.1977447,1,140.73
FB000061,Shoes,Ann Taylor,Summer,M,White,145.95,6.6,124.12,2024-06-24,15,4.0,False,,496.48,Mainland China,CN,14.30733204,46.6253033,4,124.12
