product_id,abc_category,category,total_forecast_demand,avg_monthly_demand
FB001879,A,Dresses,17409.84726425792,2901.6412107096535
FB001109,A,Tops,15434.604875544894,2572.434145924149
FB001697,A,Tops,14707.946924354415,2451.3244873924027
FB001972,A,Dresses,14480.135268815076,2413.355878135846
FB001457,A,Accessories,14449.215721172908,2408.2026201954845
FB000026,A,Bottoms,14172.650114925029,2362.108352487505
FB000106,A,Bottoms,13620.390517899335,2270.065086316556
FB001889,A,Tops,13148.818433362587,2191.4697388937643
FB000852,A,Outerwear,12969.969617311388,2161.6616028852313
FB000432,A,Shoes,12390.327072183123,2065.0545120305205
FB000608,A,Dresses,10371.90689201521,1728.6511486692016
FB002058,A,Accessories,10199.31029940367,1699.8850499006119
FB001153,A,Shoes,9736.0544119162,1622.6757353193668
FB001984,A,Accessories,9672.494129499073,1612.0823549165123
FB000922,A,Accessories,9352.25549970612,1558.70924995102
FB001968,A,Shoes,9349.064275174807,1558.1773791958012
FB001795,A,Dresses,9067.961652061893,1511.3269420103154
FB001549,A,Dresses,8909.607348114723,1484.9345580191205
FB000066,A,Bottoms,7713.766579925163,1285.6277633208604
FB000342,A,Bottoms,6963.175403332836,1160.529233888806
FB001362,A,Shoes,6665.376147188996,1110.8960245314993
FB000163,A,Bottoms,6172.863518642084,1028.8105864403474
FB002132,A,Dresses,5943.441857444522,990.5736429074203
FB000330,A,Accessories,5714.566225797428,952.4277042995714
FB000845,A,Bottoms,5577.669559489845,929.6115932483075
FB000263,A,Outerwear,5536.410652530947,922.7351087551579
FB000054,A,Outerwear,4991.704823823539,831.9508039705898
FB001580,A,Bottoms,2961.83510182108,493.63918363684667
FB001589,A,Tops,2950.7358710396143,491.7893118399357
FB001710,A,Bottoms,2661.1431834082873,443.5238639013812
FB000684,A,Outerwear,2444.471972427094,407.41199540451566
FB002031,B,Dresses,2095.9456076943516,349.3242679490586
FB001204,C,Outerwear,71.9635684271835,11.993928071197251
FB001636,C,Outerwear,71.90720220105277,11.984533700175461
FB000865,A,Outerwear,69.18837259878984,11.53139543313164
FB001931,C,Outerwear,68.93730105580968,11.489550175968281
FB000538,A,Outerwear,68.72070522340029,11.453450870566714
FB001622,B,Outerwear,68.44131238717824,11.406885397863041
FB002061,B,Outerwear,68.28932078914343,11.38155346485724
FB000793,A,Outerwear,68.10147367212583,11.350245612020972
FB000073,C,Outerwear,67.80011381700757,11.300018969501261
FB000866,C,Outerwear,67.53217568163697,11.255362613606161
FB000076,A,Outerwear,67.50485684027484,11.25080947337914
FB000226,A,Outerwear,67.21522955217745,11.202538258696242
FB000043,A,Outerwear,67.00791435413221,11.167985725688702
FB001786,C,Accessories,66.91230007017523,11.152050011695872
FB001396,B,Shoes,66.90505612421785,11.150842687369641
FB001456,B,Tops,66.86091039057291,11.143485065095485
FB002095,B,Accessories,66.78141585834669,11.130235976391115
FB000059,B,Tops,66.76019840382395,11.126699733970659
FB000718,A,Outerwear,66.7458708675916,11.124311811265267
FB000807,A,Shoes,66.54852710806088,11.091421184676813
FB001868,B,Tops,66.50534009948294,11.084223349913822
FB001487,C,Shoes,66.50458885743723,11.084098142906205
FB001199,B,Tops,66.50015229618407,11.083358716030679
FB000828,B,Bottoms,66.45049647609801,11.075082746016335
FB001198,B,Dresses,66.25935096911542,11.043225161519237
FB000127,B,Shoes,66.2432571556345,11.040542859272415
FB001741,B,Tops,66.10977123930104,11.018295206550173
FB002066,B,Bottoms,66.09091269300399,11.015152115500664
FB000607,B,Accessories,66.0353846142516,11.005897435708599
FB001206,B,Tops,66.00864809041221,11.001441348402034
FB001991,B,Accessories,65.99189071721585,10.99864845286931
