product_id,total_revenue,mean_daily_revenue,std_daily_revenue,num_transactions,avg_price,original_price,avg_markdown,avg_unit_cost,avg_profit_margin,avg_stock_quantity,category,brand,units_sold,mean_daily_demand,std_daily_demand,unit_cost,underage_cost,overage_cost,critical_ratio,optimal_quantity,expected_profit,achieved_service_level
FB000001,589.86,589.86,,1,196.62,196.01,0.0,141.71,27.93,37.0,Outerwear,Zara,3.0,3.0,0.8999999999999999,141.71,54.91,124.49972426930148,0.3060592184935182,2.5436533332847002,108.08394689696516,0.3060592184935182
FB000002,488.16,488.16,,1,122.04,119.64,0.0,84.45,30.8,2.0,Tops,Uniqlo,4.0,4.0,1.2,84.45,37.59,74.19378812040442,0.33627416490404766,3.492816199729429,101.41820591620126,0.33627416490404766
FB000003,536.64,536.64,,1,33.54,33.8,0.0,23.57,29.73,22.0,Accessories,Uniqlo,16.0,16.0,4.8,23.57,9.969999999999999,20.707490657169117,0.3249939870055858,13.821861294590509,106.52227843096901,0.3249939870055858
FB000004,1195.04,1195.04,,1,74.69,75.36,0.0,52.98,29.07,48.0,Shoes,Uniqlo,16.0,16.0,4.8,52.98,21.71,46.54572995404411,0.31806853453354206,13.72908792139952,230.49448796651188,0.31806853453354206
FB000005,878.0,878.0,,1,109.75,105.02,0.0,80.37,26.77,10.0,Tops,Banana Republic,8.0,8.0,2.4,80.37,29.379999999999995,70.60929249540442,0.29383146201729876,6.698657940780618,152.39214519050842,0.29383146201729876
FB000006,111.95,111.95,,1,22.39,35.03,35.4,16.4,26.75,38.0,Accessories,Zara,5.0,5.0,1.5,16.4,5.990000000000002,14.408266727941175,0.29365240095596007,4.185881226986743,19.415137665803172,0.29365240095596007
FB000007,422.28,422.28,,1,24.84,53.83,54.5,18.32,26.25,38.0,Bottoms,Zara,17.0,17.0,5.1,18.32,6.52,16.095088198529414,0.28830309847847396,14.152420890541958,71.46848469270313,0.28830309847847396
FB000008,440.22,440.22,,1,73.37,91.55,22.1,51.07,30.39,47.0,Dresses,Mango,6.0,6.0,1.7999999999999998,51.07,22.300000000000004,44.86769401194853,0.33200484739036945,5.218108998984564,89.90959031328892,0.33200484739036945
FB000009,1677.92,1677.92,,1,209.74,227.73,12.8,148.74,29.08,14.0,Outerwear,Uniqlo,8.0,8.0,2.4,148.74,61.0,130.67595079963237,0.318245454088114,6.865734188620557,323.8704703027682,0.318245454088114
FB000010,559.8974930619797,559.8974930619797,,1,85.50331174838114,248.41,10.9,61.106276595744674,28.53474560592044,37.0,Outerwear,H&M,6.54825505133233,6.54825505133233,1.9644765153996988,61.106276595744674,24.397035152636462,53.6850934111487,0.3124535101871175,5.58780729073268,105.45752744334037,0.3124535101871175
FB000011,1021.77,1021.77,,1,113.53,116.84,0.0,83.97,26.04,3.0,Tops,Mango,9.0,9.0,2.6999999999999997,83.97,29.560000000000002,73.77208275275736,0.2860679782360354,7.47474686974963,171.15171030414672,0.2860679782360354
FB000012,676.6,676.6,,1,135.32,146.98,0.0,93.52,30.89,2.0,Shoes,Uniqlo,5.0,5.0,1.5,93.52,41.8,82.1622624632353,0.33719939576285995,4.369822050670991,141.08520353471022,0.33719939576285995
FB000013,1060.36,1060.36,,1,37.87,37.51,0.0,26.42,30.24,43.0,Bottoms,Ann Taylor,28.0,28.0,8.4,26.42,11.449999999999996,23.211366277573532,0.33033896899235426,24.312590140056415,215.11504749973514,0.33033896899235426
FB000014,233.3,233.3,,1,46.66,48.15,0.0,34.03,27.07,39.0,Dresses,Uniqlo,5.000000000000001,5.000000000000001,1.5000000000000002,34.03,12.629999999999995,29.89715346047794,0.2969867242992768,4.200369697143096,41.0720682329319,0.2969867242992768
FB000015,811.4,811.4,,1,81.14,79.66,0.0,59.3,26.92,7.0,Tops,Mango,10.0,10.0,3.0,59.3,21.840000000000003,52.098183961397055,0.29538188294430673,8.38681130867781,141.82071527175486,0.29538188294430673
FB000016,234.09,234.09,,1,78.03,67.57,0.0,57.03,26.91,17.0,Accessories,Mango,3.0,3.0,0.8999999999999999,57.03,21.0,50.10386899356618,0.29534257836096345,2.515940927087782,40.90823458323898,0.29534257836096345
FB000017,450.64,450.64,,1,112.66,123.53,0.0,81.61,27.56,14.0,Shoes,Gap,4.0,4.0,1.2,81.61,31.049999999999997,71.69869802849264,0.3021936101943569,3.3782777986310006,81.18906222591232,0.3021936101943569
FB000018,295.83,295.83,,1,98.61,102.35,0.0,70.31,28.7,14.0,Tops,Ann Taylor,3.0,3.0,0.8999999999999999,70.31,28.299999999999997,61.771050831801475,0.3141964009373819,2.5644087917478045,56.1345075003403,0.3141964009373819
FB000019,579.6,579.6,,1,57.96,137.95,58.5,41.6,28.23,16.0,Outerwear,Mango,10.0,10.0,3.0,41.6,16.36,36.547798529411764,0.3092171750617327,8.50578849082288,107.6651628617598,0.3092171750617327
